title	monthsales	cost	time
壹只蟹蟹煲饭（温州南柳店）	2103	配送费¥1	45+ 分钟
轰炸卡路里(大学城店)	1949	配送费¥2	45 分钟
东池便当(茶山商务中心店)	2684	配送费¥4	33 分钟
品飞翔蟹煲饭(瓯海茶山店)	1326	配送费¥1	38 分钟
苗员外简餐（大学城店）	2301	配送费¥1	45+ 分钟
士百士	791	配送费¥2	37 分钟
华莱士（茶山店）	1512	配送费¥3	45+ 分钟
三只小鸡	99	配送费¥3	36 分钟
百基拉（茶山店）	5003	配送费¥3	45+ 分钟
诺德小吃店	2618	配送费¥2	40 分钟
东厂烧饭(商务中心店)	170	配送费¥4	40 分钟
盛爺拌饭(茶山朝阳店)	276	配送费¥2	
杨国福麻辣烫&商务中心店	2459	配送费¥2	38 分钟
幸福饺子馆	1350	配送费¥1	29 分钟
茶里一世	509	配送费¥3	37 分钟
叶子屋	436	配送费¥1	43 分钟
宝岛便当（茶山商务中心店）	3020	配送费¥5	43 分钟
食其焖饭(商务中心店)	3219	配送费¥2	39 分钟
叫了个虾茶山店	539	配送费¥3	42 分钟
大叔简餐（大学城店）	2374	配送费¥2	39 分钟
佬师伯	914	配送费¥1	40 分钟
沙县小吃（商学院店）(沙县小吃（商学院店）)	769	配送费¥1	40 分钟
速味居黄焖鸡米饭	1136	配送费¥1	45+ 分钟
百味馄饨王	12	配送费¥0.99	
弥茶（温州茶山大学城店）	61	配送费¥2	
N多寿司（小吃街店）	1345	配送费¥3	32 分钟
我呀便当（温州大学店）	538	配送费¥2	42 分钟
掌柜的木盒饭	1620	免配送费	39 分钟
好先生厨房	482	配送费¥2	42 分钟
久焖提督私房牛肉面	712	配送费¥2	45+ 分钟
煎之脆生煎	627	配送费¥2	38 分钟
吉祥馄饨（温州瓯海朝阳店）	661	配送费¥2	35 分钟
板烧厨房(大学城店)	1387	配送费¥2	38 分钟
喜仕屋牛丼咖喱(南柳小吃街店)	417	配送费¥5	45+ 分钟
小卡健身厨堂	266	配送费¥2	45+ 分钟
大叔简餐（大学城店）	2374	配送费¥2	39 分钟
大东的健身厨堂	3593	配送费¥1	43 分钟
竹本料理	186	配送费¥1	35 分钟
杨铭宇黄焖鸡米饭 商务中心店	809	配送费¥1	45+ 分钟
秋韵韩国料理	1687	配送费¥1	40 分钟
解馋坊麻辣香锅	1001	配送费¥3	38 分钟
正记粥吧 商务中心	1220	免配送费	39 分钟
道味炸酱面(茶山店)	756	配送费¥2	36 分钟
腾宇记(商务中心店)	562	配送费¥3	36 分钟
士百士	791	配送费¥2	37 分钟
建鑫源（附一医店）	2479	配送费¥3.5	45+ 分钟
朱攀披萨	331	配送费¥3	45+ 分钟
肉片叔叔手打瘦肉丸	737	配送费¥3	40 分钟
蓝天点心	1612	配送费¥3	37 分钟
士百士	791	配送费¥2	37 分钟
星滋味秘制烧鹅饭（附一医店）	1095	配送费¥3.5	45 分钟
二高泡泡（茶山店）	1233	配送费¥3	38 分钟
好功夫煲仔	1526	配送费¥2	45+ 分钟
兰州拉面（朝阳新街店）	807	配送费¥1	37 分钟
旺角地干锅(商务中心店)	656	配送费¥3	43 分钟
饭爷炸鸡拌饭(茶山店)	827	配送费¥3	37 分钟
Open Rice	1316	配送费¥2	38 分钟
金溢香焖锅	899	配送费¥2	36 分钟
家湘脆皮鸡饭	657	配送费¥3	36 分钟
我们吃什么（大学城店）	1016	配送费¥1	41 分钟
佳香基炸鸡汉堡	3054	配送费¥2	38 分钟
绿野先生(大学城店）	335	免配送费	38 分钟
家常粥	1911	配送费¥2	29 分钟
老北京炸酱面	316	配送费¥1	32 分钟
蜀湘门第	156	配送费¥2	40 分钟
刁嘴婆特色面馆	591	配送费¥3	36 分钟
渝湘汇	1911	配送费¥4	45+ 分钟
重庆闻道香麻辣烫	1203	免配送费	29 分钟
