category,name,author,serialnumber,novelurl,name_id,serialstatus
玄幻魔法,真武破天, 开玩笑,,http://www.x23us.com/book/58084,58084,
玄幻魔法,修仙界警局, 醋溜土豆块,,http://www.x23us.com/book/64806,64806,
玄幻魔法,执掌八卦界, 太极散人,,http://www.x23us.com/book/56502,56502,
玄幻魔法,神级穿越者, 小李飞键,,http://www.x23us.com/book/52142,52142,
玄幻魔法,诱狐, 峨嵋,,http://www.x23us.com/book/8005,8005,
玄幻魔法,萌萌山海经, 肥面包,,http://www.x23us.com/book/50559,50559,
玄幻魔法,创世神在凡间, 崛起天东,,http://www.x23us.com/book/63986,63986,
玄幻魔法,魔源战纪之人面兽心, 玩者之峰,,http://www.x23us.com/book/62856,62856,
科幻小说,沉睡的上帝, 三三零零,,http://www.x23us.com/book/54463,54463,
科幻小说,降临漫威的伯爵大人, 天顶礼帽,,http://www.x23us.com/book/54612,54612,
科幻小说,黑暗神话, 恐惧大魔王,,http://www.x23us.com/book/54809,54809,
科幻小说,红警之急冻末日, 亮火蟲,,http://www.x23us.com/book/54185,54185,
恐怖灵异,谋杀现场, MS007,,http://www.x23us.com/book/3258,3258,
恐怖灵异,极限进化空间, 血髓,,http://www.x23us.com/book/3323,3323,
玄幻魔法,分身大爆炸, 水尚浅,,http://www.x23us.com/book/56798,56798,
恐怖灵异,八号客栈, 欣丫头,,http://www.x23us.com/book/6488,6488,
恐怖灵异,胆小鬼恐怖丛书, 周德东,,http://www.x23us.com/book/5054,5054,
恐怖灵异,鬼眼新娘, 青鸟,,http://www.x23us.com/book/5072,5072,
恐怖灵异,星际移民, 竹笛声声,,http://www.x23us.com/book/5389,5389,
恐怖灵异,灵异新世纪, 胡鳕,,http://www.x23us.com/book/5436,5436,
恐怖灵异,子夜巫灵, Mr.杨,,http://www.x23us.com/book/5471,5471,
恐怖灵异,魁星踢斗之盗墓传奇, 楚烟寒,,http://www.x23us.com/book/5474,5474,
恐怖灵异,虫族, 忐忑,,http://www.x23us.com/book/5571,5571,
历史军事,明臣, 烛,,http://www.x23us.com/book/313,0313,
历史军事,杂兵天下, 植物人儿,,http://www.x23us.com/book/365,0365,
历史军事,重生之不做皇后, 雪舞冰凝,,http://www.x23us.com/book/373,0373,
历史军事,穿越奇缘之虐妃, 飘逸春秋,,http://www.x23us.com/book/378,0378,
历史军事,闺秀, 迷路的龙,,http://www.x23us.com/book/405,0405,
历史军事,平凡家庭, 唐雪熏,,http://www.x23us.com/book/496,0496,
历史军事,郡主的邪恶夫君, 萧萧十香,,http://www.x23us.com/book/500,0500,
历史军事,大宅门之庄家四奶奶, 赢赢,,http://www.x23us.com/book/512,0512,
玄幻魔法,炼罗星球, 卷大葱,,http://www.x23us.com/book/63574,63574,
玄幻魔法,大武主, 诸葛卧龙,,http://www.x23us.com/book/50448,50448,
玄幻魔法,万古剑宗, 落魄不唱悲歌,,http://www.x23us.com/book/63116,63116,
玄幻魔法,回头万里, 青玉,,http://www.x23us.com/book/8316,8316,
玄幻魔法,星河主神, 曾付出,,http://www.x23us.com/book/63147,63147,
玄幻魔法,战苍, 佐愁,,http://www.x23us.com/book/59341,59341,
玄幻魔法,苍逐, 半文青,,http://www.x23us.com/book/53833,53833,
玄幻魔法,无盐至尊, 一帆东来,,http://www.x23us.com/book/63385,63385,
玄幻魔法,江山皇图, 卓牧闲,,http://www.x23us.com/book/62851,62851,
玄幻魔法,荒古道尊, 墨依文,,http://www.x23us.com/book/59366,59366,
玄幻魔法,最强熟练度系统, 狮心疯,,http://www.x23us.com/book/63529,63529,
玄幻魔法,太平天国, 兰色幽香,,http://www.x23us.com/book/651,0651,
玄幻魔法,《逍遥游》, 老庄墨韩,,http://www.x23us.com/book/63763,63763,
玄幻魔法,万灵主宰, 大叔戏萝莉,,http://www.x23us.com/book/57126,57126,
玄幻魔法,皇极道, 蕾笑依然心,,http://www.x23us.com/book/63430,63430,
玄幻魔法,邪灵大圣, 不才张石三,,http://www.x23us.com/book/62297,62297,
玄幻魔法,猫抓天下, 七日寻,,http://www.x23us.com/book/63772,63772,
玄幻魔法,七界战仙, 弹指帅哥,,http://www.x23us.com/book/56147,56147,
玄幻魔法,永夜之帝国双璧, 烟雨江南,,http://www.x23us.com/book/62358,62358,
玄幻魔法,暗黑二郎神, 二次方狗,,http://www.x23us.com/book/62763,62763,
玄幻魔法,绝武撼天, 白麑,,http://www.x23us.com/book/62817,62817,
玄幻魔法,十剑破空, 亚特兰蒂斯守护鸟,,http://www.x23us.com/book/62299,62299,
玄幻魔法,诸天太上引, 蠢到家了,,http://www.x23us.com/book/62947,62947,
玄幻魔法,某学园都市的爆炸魔, 水开了,,http://www.x23us.com/book/48819,48819,
玄幻魔法,瞳斗涅槃, 君非闲少,,http://www.x23us.com/book/61983,61983,
玄幻魔法,侠义英雄, 林一乂,,http://www.x23us.com/book/63789,63789,
玄幻魔法,机械启示录, 白云小满,,http://www.x23us.com/book/59847,59847,
玄幻魔法,苍蒙, 折祸,,http://www.x23us.com/book/62945,62945,
玄幻魔法,魔法养成攻略, 凌舞水袖,,http://www.x23us.com/book/63805,63805,
玄幻魔法,豪情杀手, 酒武贰柒,,http://www.x23us.com/book/63811,63811,
历史军事,极品王妃特训营, 醉楼,,http://www.x23us.com/book/533,0533,
历史军事,传家, 雕栏玉砌,,http://www.x23us.com/book/549,0549,
历史军事,海月明珠, 夜惠美,,http://www.x23us.com/book/562,0562,
历史军事,媚成殇：王爷的暖床奴, 莫弃,,http://www.x23us.com/book/586,0586,
历史军事,1911新中华, 天使奥斯卡,,http://www.x23us.com/book/609,0609,
恐怖灵异,恐怖周末, 云山好汉,,http://www.x23us.com/book/5609,5609,
恐怖灵异,鬼道之冤孽, 行书1989,,http://www.x23us.com/book/5651,5651,
恐怖灵异,无限凶险, 蓝田日暧,,http://www.x23us.com/book/5683,5683,
恐怖灵异,冤鬼路五步曲, Tina Dannis,,http://www.x23us.com/book/5695,5695,
恐怖灵异,龙女的封印, 瞳未然,,http://www.x23us.com/book/5697,5697,
恐怖灵异,第四校区, 陈瑞生,,http://www.x23us.com/book/5711,5711,
恐怖灵异,鬼影在校园, BBOY彤彤,,http://www.x23us.com/book/5729,5729,
恐怖灵异,生化危机之终期黑城, 盘古混沌,,http://www.x23us.com/book/5758,5758,
恐怖灵异,巫战星宇, 任东流,,http://www.x23us.com/book/5772,5772,
恐怖灵异,鬼在哪里, 盛顺丰,,http://www.x23us.com/book/5796,5796,
恐怖灵异,灵丝密码, 我的道,,http://www.x23us.com/book/5902,5902,
恐怖灵异,地狱游戏, 月初照,,http://www.x23us.com/book/6002,6002,
恐怖灵异,盗墓十年, 慎怀,,http://www.x23us.com/book/6010,6010,
恐怖灵异,鬼吹灯, 本物天下霸唱,,http://www.x23us.com/book/6016,6016,
恐怖灵异,鬼灵子, 秋城太保,,http://www.x23us.com/book/6195,6195,
恐怖灵异,赎魂师, 雨石三千,,http://www.x23us.com/book/6306,6306,
恐怖灵异,福尔摩斯贵公子, 爱纱无边,,http://www.x23us.com/book/6316,6316,
恐怖灵异,诡战, 光栅尺,,http://www.x23us.com/book/6324,6324,
恐怖灵异,秘宝迷踪, 被遗忘的乖孩子,,http://www.x23us.com/book/6365,6365,
恐怖灵异,末世狩猎者, 黑天魔神,,http://www.x23us.com/book/6456,6456,
恐怖灵异,战偶, 黑孔雀,,http://www.x23us.com/book/6460,6460,
恐怖灵异,贼猫, 本物天下霸唱,,http://www.x23us.com/book/6462,6462,
恐怖灵异,茅山术, 茅山道士,,http://www.x23us.com/book/3331,3331,
恐怖灵异,胜负游戏, 光兴28,,http://www.x23us.com/book/3385,3385,
恐怖灵异,异灵校园, 欧阳俊,,http://www.x23us.com/book/3448,3448,
恐怖灵异,血蛊, 笨么么,,http://www.x23us.com/book/3552,3552,
恐怖灵异,哇！今夜哪里有鬼?, 黯然销魂蛋,,http://www.x23us.com/book/3650,3650,
恐怖灵异,鬼打墙, 天下霸唱,,http://www.x23us.com/book/3727,3727,
恐怖灵异,重生聊斋, 始王,,http://www.x23us.com/book/3829,3829,
恐怖灵异,僵尸无赖, 无赖是我,,http://www.x23us.com/book/3840,3840,
恐怖灵异,魔兽三部曲, 理查德·A.纳克,,http://www.x23us.com/book/4189,4189,
恐怖灵异,关东异志, 扯皮大爷,,http://www.x23us.com/book/4213,4213,
恐怖灵异,致命高潮, 栖阳逐剑,,http://www.x23us.com/book/4232,4232,
恐怖灵异,茅山第一百零八代传人, 我是赵公明,,http://www.x23us.com/book/4331,4331,
恐怖灵异,禁地密码, 沙漠流浪汉,,http://www.x23us.com/book/4456,4456,
恐怖灵异,樱血, 飞飞飞,,http://www.x23us.com/book/4548,4548,
恐怖灵异,女生寝室3：诡铃, 沈醉天,,http://www.x23us.com/book/4561,4561,
恐怖灵异,夜半奇谈, 肖柏荣,,http://www.x23us.com/book/4598,4598,
恐怖灵异,我的鬼神爸爸, 锁童,,http://www.x23us.com/book/4640,4640,
恐怖灵异,书院魅影, 吴书生,,http://www.x23us.com/book/4658,4658,
恐怖灵异,铜镜, 遛狗00,,http://www.x23us.com/book/4676,4676,
恐怖灵异,龙祭, 天兰水寒,,http://www.x23us.com/book/4686,4686,
恐怖灵异,鬼吹灯之升棺发财, 泛东流,,http://www.x23us.com/book/4870,4870,
恐怖灵异,聊斋志异, 蒲松龄,,http://www.x23us.com/book/5026,5026,
恐怖灵异,临兵斗者皆阵列在前, 勿用,,http://www.x23us.com/book/5030,5030,
恐怖灵异,鬼吹灯同人之雌雄双盗, 独孤一叶,,http://www.x23us.com/book/5034,5034,
恐怖灵异,我的老公不是人, 裟椤双树,,http://www.x23us.com/book/5035,5035,
恐怖灵异,女生寝室2：灵异校园, 沈醉天,,http://www.x23us.com/book/5049,5049,
恐怖灵异,773恐怖系列丛书, 周德东,,http://www.x23us.com/book/5051,5051,
恐怖灵异,一千灵异夜, 紫陌飞尘,,http://www.x23us.com/book/479,0479,
恐怖灵异,猎灵师, 两包烟,,http://www.x23us.com/book/948,0948,
恐怖灵异,无限盗墓, 藏笔之仙,,http://www.x23us.com/book/1011,1011,
恐怖灵异,天地法门, 隐为者,,http://www.x23us.com/book/1012,1012,
恐怖灵异,第五种人, 通吃小墨墨,,http://www.x23us.com/book/1233,1233,
恐怖灵异,行尸天下, 一度苍穹,,http://www.x23us.com/book/1267,1267,
恐怖灵异,湘西赶尸鬼事之迎喜神, 凝眸七弦伤,,http://www.x23us.com/book/1301,1301,
恐怖灵异,鬼吹灯之牧野诡事, 天下霸唱,,http://www.x23us.com/book/1303,1303,
恐怖灵异,冥侦探的灵异事件簿, 老天叔叔,,http://www.x23us.com/book/1358,1358,
恐怖灵异,赶尸匠, 泉印眼镜蛇,,http://www.x23us.com/book/1399,1399,
恐怖灵异,女生寝室4：玉魂, 沈醉天,,http://www.x23us.com/book/1497,1497,
恐怖灵异,鬼婴, 佛祖是爷们,,http://www.x23us.com/book/1518,1518,
恐怖灵异,墓地挖出的灵异古物, 鹤童,,http://www.x23us.com/book/1632,1632,
恐怖灵异,盗墓手记, 公子,,http://www.x23us.com/book/1638,1638,
恐怖灵异,祀变, 剑君白,,http://www.x23us.com/book/1786,1786,
恐怖灵异,银河征战录, 闲来无事,,http://www.x23us.com/book/2085,2085,
恐怖灵异,惊城, 乖极,,http://www.x23us.com/book/2361,2361,
恐怖灵异,天下第一群, 退伍的军人,,http://www.x23us.com/book/1453,1453,
恐怖灵异,虎眼警探之尸骨成谜, 察木哈,,http://www.x23us.com/book/2461,2461,
恐怖灵异,家有鬼仙, 灵之水,,http://www.x23us.com/book/2504,2504,
恐怖灵异,圣天使物语, 云追风,,http://www.x23us.com/book/2543,2543,
恐怖灵异,女体, 柳暗花溟,,http://www.x23us.com/book/2962,2962,
恐怖灵异,妖杀, 疏云淡影,,http://www.x23us.com/book/3103,3103,
恐怖灵异,降头师, 徐旖梦,,http://www.x23us.com/book/3144,3144,
恐怖灵异,七月阴阳寮, 川上麦,,http://www.x23us.com/book/3170,3170,
恐怖灵异,灵能奇探, 李白,,http://www.x23us.com/book/2370,2370,
历史军事,一片伤心画不成, 韩亚,,http://www.x23us.com/book/617,0617,
恐怖灵异,天下第一道, 江南赤鱼,,http://www.x23us.com/book/3191,3191,
恐怖灵异,圣枪传奇, 笑颜,,http://www.x23us.com/book/3199,3199,
恐怖灵异,夺命车, 周德东,,http://www.x23us.com/book/5053,5053,
恐怖灵异,谋杀现场2, MS007,,http://www.x23us.com/book/3254,3254,
历史军事,风云初落, 流风回雪,,http://www.x23us.com/book/618,0618,
历史军事,重紫, 蜀客,,http://www.x23us.com/book/622,0622,
历史军事,画地为牢, 白刃在喉,,http://www.x23us.com/book/665,0665,
历史军事,穿越无敌双生花, 琉璃异彩,,http://www.x23us.com/book/682,0682,
历史军事,狗官, 夜深,,http://www.x23us.com/book/706,0706,
历史军事,乱世龙腾, 堕落的狼崽,,http://www.x23us.com/book/708,0708,
历史军事,太平新篇, 春锄,,http://www.x23us.com/book/715,0715,
历史军事,精忠吕布, 楚方晴,,http://www.x23us.com/book/718,0718,
历史军事,冒牌书生, 一面湖水,,http://www.x23us.com/book/724,0724,
历史军事,朱明画卷, 西木子,,http://www.x23us.com/book/739,0739,
历史军事,虎吼, 九城君,,http://www.x23us.com/book/757,0757,
历史军事,无奈三国, 问天,,http://www.x23us.com/book/783,0783,
历史军事,终生制职业, 最后的游骑兵,,http://www.x23us.com/book/805,0805,
历史军事,曹冲, 庄不周,,http://www.x23us.com/book/842,0842,
